iShares U.S. Technology ETF
Fund Holdings as of,"Jul 23, 2024"
Inception Date,"May 15, 2000"
Shares Outstanding,"127,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"FFIV","F5 INC","Information Technology","Equity","17,537,115.20","0.09","17,537,115.20","100,904.00","173.80","United States","NASDAQ","USD","1.00","USD","-"
"CACI","CACI INTERNATIONAL INC CLASS A","Industrials","Equity","17,511,575.00","0.09","17,511,575.00","38,125.00","459.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COHR","COHERENT CORP","Information Technology","Equity","16,700,860.74","0.09","16,700,860.74","228,341.00","73.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ESTC","ELASTIC NV","Information Technology","Equity","16,496,112.36","0.09","16,496,112.36","140,524.00","117.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DOX","AMDOCS LTD","Information Technology","Equity","16,430,695.05","0.09","16,430,695.05","197,841.00","83.05","United States","NASDAQ","USD","1.00","USD","-"
"KBR","KBR INC","Industrials","Equity","15,766,440.35","0.08","15,766,440.35","229,865.00","68.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTCH","MATCH GROUP INC","Communication","Equity","15,705,953.55","0.08","15,705,953.55","457,233.00","34.35","United States","NASDAQ","USD","1.00","USD","-"
"SNX","TD SYNNEX CORP","Information Technology","Equity","15,321,126.70","0.08","15,321,126.70","130,171.00","117.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PAYC","PAYCOM SOFTWARE INC","Industrials","Equity","14,546,869.38","0.08","14,546,869.38","87,939.00","165.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GLOB","GLOBANT SA","Information Technology","Equity","13,798,370.00","0.07","13,798,370.00","72,623.00","190.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DAY","DAYFORCE INC","Industrials","Equity","13,597,179.52","0.07","13,597,179.52","255,971.00","53.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LSCC","LATTICE SEMICONDUCTOR CORP","Information Technology","Equity","13,446,841.36","0.07","13,446,841.36","235,208.00","57.17","United States","NASDAQ","USD","1.00","USD","-"
"CRUS","CIRRUS LOGIC INC","Information Technology","Equity","12,786,098.08","0.07","12,786,098.08","92,848.00","137.71","United States","NASDAQ","USD","1.00","USD","-"
"PCOR","PROCORE TECHNOLOGIES INC","Information Technology","Equity","12,728,450.00","0.07","12,728,450.00","181,835.00","70.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BSY","BENTLEY SYSTEMS INC CLASS B","Information Technology","Equity","11,927,681.92","0.06","11,927,681.92","242,039.00","49.28","United States","NASDAQ","USD","1.00","USD","-"
"ARW","ARROW ELECTRONICS INC","Information Technology","Equity","11,314,492.82","0.06","11,314,492.82","92,978.00","121.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GTLB","GITLAB INC CLASS A","Information Technology","Equity","11,265,156.75","0.06","11,265,156.75","204,635.00","55.05","United States","NASDAQ","USD","1.00","USD","-"
"SAIC","SCIENCE APPLICATIONS INTERNATIONAL","Industrials","Equity","10,928,724.66","0.06","10,928,724.66","88,263.00","123.82","United States","NASDAQ","USD","1.00","USD","-"
"KD","KYNDRYL HOLDINGS INC","Information Technology","Equity","10,825,884.33","0.06","10,825,884.33","392,669.00","27.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SMAR","SMARTSHEET INC CLASS A","Information Technology","Equity","10,609,532.55","0.06","10,609,532.55","218,979.00","48.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CFLT","CONFLUENT INC CLASS A","Information Technology","Equity","10,596,657.60","0.06","10,596,657.60","417,520.00","25.38","United States","NASDAQ","USD","1.00","USD","-"
"CART","MAPLEBEAR INC","Consumer Staples","Equity","10,486,098.00","0.05","10,486,098.00","297,225.00","35.28","United States","NASDAQ","USD","1.00","USD","-"
